variable,mean,std,min,max,length,filename
W3_Turbulence,0.17296137339055798,0.08329570952751333,0.0,0.28,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W3_CleanTan,0.7112017167381973,0.20738170204207435,0.49,1.22,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W3_Cross,0.7851072961373391,0.22126811554120857,0.28,1.07,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W4_Speed,1.3412017167381973,0.18965103524487786,1.1,1.7,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W4_Tangent,-0.17944206008583688,0.2723621722605699,-0.7,0.63,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W4_Turbulence,0.16004291845493565,0.09927538264012112,0.03,0.34,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W4_CleanTan,-0.17944206008583688,0.2723621722605699,-0.7,0.63,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W4_Cross,1.0907296137339055,0.26778767938670306,0.65,1.63,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W5_Speed,0.7622317596566525,0.19328868311791883,0.5,1.6,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W5_Tangent,0.6344206008583692,0.22228386229288963,0.34,1.28,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W5_Turbulence,0.2991845493562232,0.2539968865575684,0.0,0.92,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W5_CleanTan,0.6344206008583692,0.22228386229288963,0.34,1.28,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W5_Cross,0.1414592274678112,0.11028380048493351,0.01,0.88,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W6_Speed,1.7901287553648069,0.13402418942339991,1.4,2.1,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W6_Tangent,-0.2621030042918455,0.12333493659852796,-0.44,-0.06,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W6_Turbulence,0.1402575107296137,0.13201986118469108,0.01,0.52,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W6_CleanTan,-0.2621030042918455,0.12333493659852796,-0.44,-0.06,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W6_Cross,1.751630901287554,0.12206520758620565,1.34,2.01,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W7_Speed,1.5738197424892704,0.0739961680387313,1.5,1.7,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W7_Tangent,0.3030042918454936,0.08766356622662365,0.17,0.46,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W7_Turbulence,0.06236051502145922,0.03732440016945311,0.0,0.23,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W7_CleanTan,0.3030042918454936,0.08766356622662365,0.17,0.46,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W7_Cross,1.524463519313305,0.09434341935446312,1.38,1.69,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W8_Speed,2.0815450643776825,0.11504578880077823,1.7,2.3,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W8_Tangent,-0.7836909871244636,0.35191977038681355,-1.15,-0.06,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W8_Turbulence,0.13643776824034337,0.06674524868920624,0.0,0.27,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W8_CleanTan,-0.7836909871244636,0.35191977038681355,-1.15,-0.06,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W8_Cross,1.8283690987124464,0.12458171839493906,1.59,2.02,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W9_Speed,0.8901287553648067,0.19417482499269623,0.5,1.2,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W9_Tangent,-0.20536480686695274,0.3292218751335482,-0.84,0.21,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W9_Turbulence,0.2296137339055794,0.1350840293409277,0.01,0.48,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W9_CleanTan,-0.20536480686695274,0.3292218751335482,-0.84,0.21,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W9_Cross,0.7395708154506437,0.19044816791408672,0.38,1.03,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W10_Speed,1.1549356223175966,0.3681080709141442,0.5,1.6,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W10_Tangent,0.5627038626609443,0.5216469135746056,-0.36,1.16,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W10_Turbulence,0.34304721030042923,0.14298445298725082,0.07,0.61,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W10_CleanTan,0.5627038626609443,0.5216469135746056,-0.36,1.16,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W10_Cross,0.8939914163090129,0.2417731551407069,0.46,1.18,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W11_Speed,1.5866952789699569,0.21584592370332117,1.2,2.0,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W11_Tangent,1.3306437768240345,0.16765115970726643,0.96,1.52,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W11_Turbulence,0.17622317596566525,0.11393957100090277,0.01,0.35,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W11_CleanTan,1.3306437768240345,0.16765115970726643,0.96,1.52,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W11_Cross,0.583519313304721,0.29222772593719265,0.08,1.15,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W12_Speed,0.7557939914163089,0.2815801940005662,0.4,1.4,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W12_Tangent,0.570472103004292,0.3021521087924317,-0.18,1.2,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
